selector,pool_id,token_id,kind,raw_score,combined_repair_score,token_likelihood,real_utility,alias_probability,decode_consistency_error,physical_violation
raw_token_score@64,0,2,alias,1.2331167252289996,-0.07683270097189743,1.277355865665307,-0.03322509381024538,0.35025380710659904,0.6611936635290272,0.9386085291959074
raw_token_score@64,1,4,alias,1.282090976835788,0.004020685703137253,1.3245933770741551,0.06655800734039921,0.1333333333333333,0.5836614271248672,0.9765563329815843
raw_token_score@64,2,2,alias,1.2437169409753566,0.03418019818484137,1.3924799016961293,0.03310523192163638,0.35025380710659904,0.4942604943745968,0.6540243216996456
raw_token_score@64,3,5,alias,1.3327892282930986,0.03449979175313906,1.3573507043037674,0.027926473540402424,0.36979166666666663,0.5906657999177256,0.7278427550367389
raw_token_score@64,4,2,alias,1.3142232404366592,0.023393472800170463,1.4035540083178635,0.14555577984634896,0.35025380710659904,0.5991262787259308,0.7970425244558035
raw_token_score@64,5,3,alias,1.2806516529468306,0.04563147412335605,1.4453421279971685,0.15441006210199743,0.217741935483871,0.4572150213836929,0.6743989010840824
raw_token_score@64,6,7,alias,1.2986448143839113,0.0035299993969440113,1.3918821805971255,-0.05,0.26126126126126126,0.6656999155121722,0.8652679830931354
raw_token_score@64,7,3,alias,1.2862751584127672,-0.0728560755312745,1.4744254064150986,0.03627046029457409,0.217741935483871,0.6474821501002309,0.9150613600602167
raw_token_score@64,8,2,alias,1.2598396936915643,-0.0011015297308588634,1.3660426100220329,0.09741814131748736,0.35025380710659904,0.567566309522612,0.7495651417874288
raw_token_score@64,9,2,alias,1.2141758565041592,-0.04883328254508689,1.4762363821944346,-0.05,0.35025380710659904,0.5620925529138232,0.7434417343600614
raw_token_score@64,10,5,alias,1.2918161667179116,-0.056734844716964127,1.456896633680679,0.09672706845739644,0.36979166666666663,0.6050936043408648,0.82730940092872
raw_token_score@64,11,3,alias,1.268501219504569,-0.010568482188557562,1.4590452271368304,-0.05,0.217741935483871,0.6163086422981329,0.8008612547219708
raw_token_score@64,12,2,alias,1.2187592230498072,-0.1160306686688114,1.3496780891141777,0.07247964462692295,0.35025380710659904,0.5918815801676621,0.9521686567278271
raw_token_score@64,13,2,alias,1.3249130496395616,0.04316691495707165,1.4648056682968051,0.03152956600528922,0.35025380710659904,0.5213594755405649,0.7338726254618614
raw_token_score@64,14,5,alias,1.2540761385755974,-0.046117502834221016,1.3696020937504434,-0.05,0.36979166666666663,0.5864143597184456,0.8443095593768434
raw_token_score@64,15,2,alias,1.2352701550403251,-0.07480251516145728,1.3826516250684433,0.16521893880484817,0.35025380710659904,0.6279840488954672,0.8738040211188057
raw_token_score@64,16,6,alias,1.2405424958268807,0.014133723711563302,1.3982900975001167,0.08108986663975057,0.125,0.5553296726470565,0.7759008340609233
raw_token_score@64,17,2,alias,1.3561248203242222,0.12785122831860493,1.4268137620033,-0.05,0.35025380710659904,0.48469229298198835,0.6392032121792549
raw_token_score@64,18,5,alias,1.2110101751906355,-0.16163800065059405,1.3311164734109335,-0.02921976826376485,0.36979166666666663,0.7257808767530132,0.997115770381531
raw_token_score@64,19,2,alias,1.264792591550667,0.025004292809403056,1.3553890892458684,-0.03982596992049246,0.35025380710659904,0.5494022399153169,0.7332674821766998
raw_token_score@64,20,5,alias,1.2547475829802883,-0.07903740577585319,1.355360034680339,0.1201419995039458,0.36979166666666663,0.6956664906218764,0.9230384855022038
raw_token_score@64,21,5,alias,1.2597410181066633,0.048550212579580296,1.4139995568274457,0.04147267170236085,0.36979166666666663,0.5683326098917816,0.6492506164149053
raw_token_score@64,22,7,alias,1.2686976944708048,-0.06692486684765779,1.3394454587115978,0.11848251130765171,0.26126126126126126,0.6366430633221959,0.9667946912461776
raw_token_score@64,23,5,alias,1.3004764355417695,-0.010165711499482272,1.3975022372953378,0.13400778669660926,0.36979166666666663,0.6572648294300892,0.7679589472926117
combined_repair@64,0,4,valid,0.7550330758502992,0.5936138309963646,0.7979395036444272,0.46953498647618763,0.1333333333333333,0.2819072646662853,0.11163453968048442
combined_repair@64,1,2,valid,0.8371417364062655,0.6229297682910655,0.7719715933227368,0.6148616844453029,0.35025380710659904,0.3740448832473551,0.007242879229925607
combined_repair@64,2,6,valid,0.769330174987769,0.6499182482492935,0.8496098969399956,0.6298379106413512,0.125,0.12294188873518119,5.320252037887441e-05
combined_repair@64,3,4,valid,0.6688446617353215,0.6184330014180419,0.6640123735463036,0.6434303207426935,0.1333333333333333,0.1693611999045761,0.025550376115919406
combined_repair@64,4,0,valid,0.8220409625704954,0.633554994105475,0.7973182811080921,0.5678329615454202,0.1348314606741573,0.3341823648037869,0.11032549928151353
combined_repair@64,5,2,valid,0.7248196125302612,0.6117481567109778,0.5957532895454658,0.6586828219150742,0.35025380710659904,0.33475740792157366,0.01768679895555847
combined_repair@64,6,3,valid,0.8750387017792463,0.6801461549837078,0.8335979001061828,0.6513008373011023,0.217741935483871,0.320655935706456,0.028635076015656753
combined_repair@64,7,1,rare_good,0.6902774945773983,0.6345830941742413,0.5758825175135759,0.8692638370628477,0.17142857142857137,0.24742864953519517,0.017862892636776005
combined_repair@64,8,4,valid,0.7848564567416167,0.6182711555075966,0.7330809597436364,0.5848560607403963,0.1333333333333333,0.29971054937638997,0.1443070614923028
combined_repair@64,9,1,valid,0.7832829385014072,0.6503061511614621,0.6231594894547602,0.5871395988325593,0.17142857142857137,0.28339035892685893,0.09256077463317998
combined_repair@64,10,4,valid,0.7909802427514772,0.6884106973135958,0.6775891923207918,0.6842080096054189,0.1333333333333333,0.33475306939795935,0.04831551338710316
combined_repair@64,11,4,valid,0.8916157802191724,0.6525079840286772,0.9030731430151121,0.6351141417618045,0.1333333333333333,0.31762979943269615,0.15108961822180794
combined_repair@64,12,6,valid,0.8114527270810964,0.6431215355254571,0.8895456580559729,0.6475277657433606,0.125,0.19002233467633328,0.05299683668160454
combined_repair@64,13,4,valid,0.8286968952668556,0.7009375204352739,0.8488016676376864,0.6338890026306984,0.1333333333333333,0.17612887727594925,0.036344033553525605
combined_repair@64,14,4,valid,0.7804620141662806,0.6405437782677375,0.7330410081256322,0.6327507259851074,0.1333333333333333,0.2591938913388643,0.16519464900481773
combined_repair@64,15,6,valid,0.7003183172540564,0.6465460935516503,0.5500151302247542,0.7156344146359722,0.125,0.28264737582226646,0.04304543185473591
combined_repair@64,16,5,valid,0.8223652760723832,0.6374617757314264,0.7101592122442972,0.6654351537782404,0.36979166666666663,0.2865354230422676,0.0672810282978919
combined_repair@64,17,4,valid,0.8418566794379827,0.6606148228707212,0.8584650894249142,0.4741124276566091,0.1333333333333333,0.17534834310267025,0.09738064563238927
combined_repair@64,18,0,valid,0.8491405435761105,0.6815560004546493,0.8116935779975023,0.5268891386390382,0.1348314606741573,0.30798838107504495,0.04750079130097214
combined_repair@64,19,4,valid,0.6390876135231446,0.6198463695892609,0.4974730920999977,0.6149135876379624,0.1333333333333333,0.22994433188786942,0.027017939441689894
combined_repair@64,20,4,valid,0.7904810794817813,0.6391131038952068,0.7381046629411921,0.7312062981979901,0.1333333333333333,0.26900851473953924,0.11587556339294806
combined_repair@64,21,3,valid,0.8793979934904084,0.6867492885167594,0.763589780377405,0.613622715048033,0.217741935483871,0.31756360387707316,0.07832642896356838
combined_repair@64,22,1,valid,0.785169305280942,0.6746048323775936,0.6193159069998908,0.5640132675336341,0.17142857142857137,0.22950686391755126,0.04808718667017288
combined_repair@64,23,4,valid,0.8376235155988331,0.6867353466374937,0.8647587226654943,0.7203763704254947,0.1333333333333333,0.253246272909775,0.051836451442806755
oracle_real_utility@64,0,3,rare_good,0.5926021021988176,0.5536045815268827,0.5090725061985161,0.9684835198910392,0.217741935483871,0.30865392325087376,0.00877179626389887
oracle_real_utility@64,1,1,rare_good,0.588797179086541,0.5109561375160326,0.49925702375840453,0.9829799821023814,0.17142857142857137,0.3484408152087421,0.10472139798434439
oracle_real_utility@64,2,0,rare_good,0.5152689401082022,0.4949120482891485,0.500239710328132,1.0,0.1348314606741573,0.3208839624058721,0.04181705068768876
oracle_real_utility@64,3,7,rare_good,0.5082090595822502,0.45760236948468647,0.45077467814835825,0.9120551529699819,0.26126126126126126,0.34530113166304677,0.10784974555709641
oracle_real_utility@64,4,4,rare_good,0.4422931127029693,0.4796649947643802,0.37148930567156335,0.96702538812986,0.1333333333333333,0.3217572049554745,0.005927356932665764
oracle_real_utility@64,5,3,rare_good,0.46213557389931587,0.45993583362331897,0.42221542555245106,0.9549122575229162,0.217741935483871,0.377252373998319,0.020406873023989264
oracle_real_utility@64,6,2,rare_good,0.4865271200774114,0.4262178389691825,0.5316729137265378,0.9770578533001956,0.35025380710659904,0.331090904864196,0.013068948697697173
oracle_real_utility@64,7,3,rare_good,0.49546553066141075,0.4459243328351342,0.5425568293538908,0.9257541042865646,0.217741935483871,0.35942221803812024,0.09836284328420934
oracle_real_utility@64,8,4,rare_good,0.6402179659286321,0.5816100507849926,0.6154185229560867,0.9690450627676915,0.1333333333333333,0.2994943833515474,0.02899733265115363
oracle_real_utility@64,9,4,rare_good,0.4702354230597587,0.4729810968157141,0.47037833308044313,0.9531187719412887,0.1333333333333333,0.3147496754690763,0.05735136920243543
oracle_real_utility@64,10,3,rare_good,0.5914455429892237,0.5010285789539097,0.5909486686846189,0.9825354845314191,0.217741935483871,0.2688842205895405,0.08925160192020047
oracle_real_utility@64,11,1,rare_good,0.46446007337795736,0.47352259163231925,0.36456033168624113,0.8817372928816057,0.17142857142857137,0.24728781366822108,0.047437763258926506
oracle_real_utility@64,12,1,rare_good,0.5414341794895547,0.5308793369733806,0.4666204735345064,0.95963928808503,0.17142857142857137,0.20016043353740134,0.03378296608181866
oracle_real_utility@64,13,7,rare_good,0.5529803936219606,0.49534264171676456,0.4949368136144598,0.9845602911548823,0.26126126126126126,0.4036153358572384,0.0710626083502382
oracle_real_utility@64,14,4,rare_good,0.5970652824207684,0.5928667070742857,0.4746716941373538,0.9414400634537867,0.1333333333333333,0.2699967241795338,0.1002163239261497
oracle_real_utility@64,15,5,rare_good,0.6531148749865434,0.5029421976070312,0.5620461423935359,0.9389013220652287,0.36979166666666663,0.2787944401500893,0.08967570048775739
oracle_real_utility@64,16,2,rare_good,0.5585923279063202,0.46791521746113,0.437200211072842,0.9459332212906771,0.35025380710659904,0.4253277512883993,0.08302650940321264
oracle_real_utility@64,17,3,rare_good,0.550947512624582,0.49795151285264233,0.539075351393137,0.9385036609064559,0.217741935483871,0.3416231283813486,0.014348393241352045
oracle_real_utility@64,18,1,rare_good,0.5002903056630893,0.5154971626166039,0.501427938530976,0.9224295666406807,0.17142857142857137,0.2560068480597931,0.027108762463504583
oracle_real_utility@64,19,3,rare_good,0.6056122101829416,0.5268648010256141,0.49624450843708395,0.9936344295908418,0.217741935483871,0.4189277957378177,0.03441137789303036
oracle_real_utility@64,20,2,rare_good,0.5055732049632249,0.4166217127161087,0.58556362930751,0.9797259576071798,0.35025380710659904,0.3423180446361625,0.06000069184418788
oracle_real_utility@64,21,0,rare_good,0.43318849254303005,0.4775176763020059,0.35370727550603087,0.9513233056689578,0.1348314606741573,0.30867803965948903,0.03895957500412068
oracle_real_utility@64,22,7,rare_good,0.539166112225781,0.46373644253704394,0.4944692705822596,0.995923804934395,0.26126126126126126,0.3974643709177593,0.04086404985931253
oracle_real_utility@64,23,1,rare_good,0.39514523175284555,0.45381724333114437,0.3842691926860502,0.9282399657928084,0.17142857142857137,0.24382571381234752,0.0008860882939944447
